Year,coreID,linext,density,calc,region,rz,site,spp,linext.log,linext.anom,linext.roll,density.log,density.anom,density.roll,calc.log,calc.anom,calc.roll
2014,yircr12s,0.3616,1.3817,0.5009,y,ir,yircr,s,-1.01721665,0.075043311,NA,0.323314625,0.25930324,NA,-0.691348799,0.165046346,NA
2013,yircr12s,0.4594,1.2382,0.5711,y,ir,yircr,s,-0.777833989,0.93144441,-0.929407472,0.213658712,-0.922595243,0.248266728,-0.560190953,0.660384641,-0.675154414
2012,yircr12s,0.3704,1.231,0.4612,y,ir,yircr,s,-0.993171776,0.161064816,-0.910939004,0.207826847,-0.985452522,0.213941728,-0.773923491,-0.146810007,-0.692921822
2011,yircr12s,0.3822,1.2465,0.4749,y,ir,yircr,s,-0.961811247,0.27325837,-1.088476024,0.220339624,-0.850586727,0.250179928,-0.744651023,-0.036257916,-0.835006502
2010,yircr12s,0.2697,1.3804,0.3729,y,ir,yircr,s,-1.310445049,-0.973993076,-1.140475103,0.322373312,0.249157538,0.285305515,-0.986444992,-0.949430986,-0.855883926
2009,yircr12s,0.3169,1.3678,0.4332,y,ir,yircr,s,-1.149169012,-0.39702157,-1.205992118,0.31320361,0.150324221,0.29580818,-0.836555764,-0.383350668,-0.907232393
2008,yircr12s,0.314,1.2864,0.4071,y,ir,yircr,s,-1.158362293,-0.429910901,-1.163573857,0.251847619,-0.510985778,0.303234733,-0.898696423,-0.618034673,-0.857115459
2007,yircr12s,0.3063,1.4115,0.4334,y,ir,yircr,s,-1.183190265,-0.51873397,-1.174914274,0.344652969,0.489293172,0.317241493,-0.83609419,-0.381607461,-0.854280519
2006,yircr12s,0.3063,1.4265,0.4369,y,ir,yircr,s,-1.183190265,-0.51873397,-1.125111649,0.355223892,0.603229187,0.339903819,-0.828050943,-0.351230871,-0.781524514
2005,yircr12s,0.3646,1.3769,0.5064,y,ir,yircr,s,-1.008954417,0.104601785,-1.125111649,0.319834595,0.221794622,0.332187369,-0.680428408,0.206288923,-0.788676529
2004,yircr12s,0.3063,1.3792,0.4242,y,ir,yircr,s,-1.183190265,-0.51873397,-1.026859029,0.321503621,0.23978379,0.32553181,-0.857550237,-0.462639608,-0.696195046
2003,yircr12s,0.4113,1.3983,0.5766,y,ir,yircr,s,-0.888432404,0.535774133,-1.066417302,0.335257213,0.388023399,0.33672014,-0.550606494,0.696581865,-0.725845739
2002,yircr12s,0.3238,1.4239,0.4633,y,ir,yircr,s,-1.127629238,-0.31996216,-1.072900667,0.353399586,0.583566369,0.346625631,-0.769380487,-0.129652635,-0.72248384
2001,yircr12s,0.3004,1.4208,0.4285,y,ir,yircr,s,-1.202640359,-0.588317463,-1.082520276,0.351220093,0.56007526,0.357668593,-0.847464541,-0.424549386,-0.72190624
2000,yircr12s,0.3996,1.4454,0.5776,y,ir,yircr,s,-0.917291232,0.432530514,-1.134436139,0.3683861,0.745094715,0.357293824,-0.548873691,0.703126067,-0.775069249
1999,yircr12s,0.2771,1.4223,0.395,y,ir,yircr,s,-1.283376827,-0.877155424,-1.078018188,0.35227528,0.571448319,0.371913132,-0.928869514,-0.731988111,-0.702951665
1998,yircr12s,0.3558,1.4845,0.532,y,ir,yircr,s,-1.033386504,0.017195011,-1.103311702,0.395078015,1.032786763,0.367712614,-0.63111179,0.392540914,-0.730489701
1997,yircr12s,0.3704,1.4273,0.5318,y,ir,yircr,s,-0.993171776,0.161064816,-0.988620595,0.355784548,0.609272076,0.359671523,-0.6314878,0.391120851,-0.62306739
1996,yircr12s,0.3909,1.3884,0.5452,y,ir,yircr,s,-0.939303506,0.353780718,-0.937960537,0.328152005,0.311441714,0.321027431,-0.606602579,0.485103814,-0.612036405
1995,yircr12s,0.4142,1.322,0.5499,y,ir,yircr,s,-0.88140633,0.560910194,-0.959617397,0.279145741,-0.216759885,0.298867833,-0.598018835,0.517521676,-0.656278348
1994,yircr12s,0.3471,1.3355,0.4657,y,ir,yircr,s,-1.058142356,-0.071370046,-0.954707879,0.289305754,-0.107252768,0.285993953,-0.764213629,-0.110139182,-0.66338462
